id_rec,name,description,tips,preparation_time,execution_time,portions,fat,kcal,protein,carbs,id_food_group,id_diff,id_national
1,Thai Pork and Lime Stir Fry,A vibrant stir fry combining the tang of lime with savory pork and fresh vegetables.,Serve with rice for a complete meal.,15,20,4,0,0,0,0,7,2,59
2,Malaysian Seafood Curry,"A rich and spicy seafood curry made with a mix of prawns, squid, and mussels in coconut milk.",Serve with steamed rice to soak up the flavorful sauce.,20,30,4,0,0,0,0,8,5,64
3,Scotch Eggs,"Hard-boiled eggs wrapped in sausage meat, coated in breadcrumbs, and deep-fried.",Serve warm with a side of mixed greens or your favorite dipping sauce.,30,20,4,0,0,0,0,7,2,45
4,Mexican Aguachile,"A spicy and refreshing dish featuring shrimp marinated in lime juice with chili peppers, onions, and cucumbers.",Serve immediately with tortilla chips for dipping.,10,5,4,0,0,0,0,8,1,71
5,Prawn Thai Salad with Peanut Dressing,"A vibrant Thai salad with fresh prawns, mixed greens, and a spicy peanut dressing.",Toss gently to combine all ingredients evenly before serving.,15,10,4,0,0,0,0,8,2,15
6,Nasi Goreng,"Indonesian fried rice served with pieces of chicken and shrimp, flavored with chili and soy sauce.",Garnish with fried shallots and serve with a side of pickles and chili sauce.,15,20,4,0,0,0,0,9,2,64
7,Mango Cream Cake,A delightful sponge cake filled with mango puree and topped with whipped cream and fresh mango slices.,Chill before serving to set the cream.,20,45,8,0,0,0,0,10,5,72
8,Mini Lychee Tart Tatin,"A delightful twist on the classic tart tatin, featuring caramelized lychees under a layer of puff pastry.",Serve warm with a scoop of vanilla ice cream.,20,40,6,0,0,0,0,10,5,12
9,Chocolate Pikelets,Soft and fluffy mini pancakes infused with cocoa and studded with chocolate chips.,Serve warm with a dollop of whipped cream or vanilla ice cream.,10,20,4,0,0,0,0,9,2,16
10,Chai Tiramisu with Vanilla and Rum,"An innovative take on the classic tiramisu, infused with chai tea and enhanced with vanilla and rum flavors.",Allow to set in the fridge for several hours or overnight for best flavor infusion.,30,20,6,0,0,0,0,6,5,16
11,Jaggery Cheesecake,"A rich and creamy cheesecake made with jaggery instead of sugar, offering a unique caramel-like flavor.",Chill thoroughly before serving to enhance the flavors.,20,60,8,0,0,0,0,6,4,16
12,Mussels and 'Nduja,"A spicy and flavorful dish featuring mussels cooked with 'Nduja, garlic, shallots, and white wine.",Serve with crusty bread to soak up the flavorful sauce.,15,20,4,0,0,0,0,8,2,25
13,Cheesy Lasagne,"A rich and hearty lasagne layered with cheese, ground beef, and a savory tomato sauce.",Allow to rest for 10 minutes after baking for easier slicing.,30,45,8,0,0,0,0,6,2,38
14,Peanut Caramel Tart,A decadent tart featuring a rich caramel layer topped with roasted peanuts and dark chocolate.,Allow the tart to cool completely in the fridge to set the caramel before serving.,30,45,8,0,0,0,0,10,4,31
15,Roast Pork Belly with Chargrilled Peach Salsa,Succulent roast pork belly paired with a fresh and zesty chargrilled peach salsa.,Ensure the pork belly skin is scored for optimal crispiness.,30,120,6,0,0,0,0,7,4,20
16,Pistachio and Rose Halva,"A traditional Middle Eastern sweet treat made with tahini and pistachios, flavored with rose water and cardamom.",Store in an airtight container to maintain freshness.,10,30,10,0,0,0,0,10,2,6
17,Choc Malt Tiramisu,A twist on the classic tiramisu with layers of malted milk and chocolate flavors.,Chill for at least 4 hours before serving to allow the flavors to meld.,20,30,8,0,0,0,0,6,2,6
18,Honey Vinegar Pie with Spiced Whipped Cream,A unique pie featuring a sweet and tangy filling topped with spiced whipped cream.,Whip the cream just before serving to ensure it stays fluffy.,20,45,8,0,0,0,0,9,2,35
19,"Monkfish with Kohlrabi, Cauliflower, and Dates","A refined dish featuring tender monkfish paired with a flavorful mix of kohlrabi, cauliflower, and sweet dates.",Serve immediately to enjoy the freshness of the ingredients.,20,30,6,0,0,0,0,8,4,50
20,Green Tea Ice Cream,Creamy and refreshing ice cream flavored with matcha green tea powder.,Serve immediately after churning for best texture or freeze for later use.,15,30,8,0,0,0,0,6,2,24
